#name,x,y,alt,heading,pitch,roll,f,px,py,k1,k2,k3,k4,t1,t2
0789d43d-9ab6-4d21-ae12-68e0377a625b.heif,-8.597233110708534e-002,-13.27923047637396,22.05736744591038,-0.4904045103756094,33.89332503180054,0,26.70167005715428,-3.734750731302419e-003,-4.25879607578358e-003,-6.570308382268591e-002,7.18191213295607e-002,-7.839272032026368e-002,0,0,0
085b7ada-f21f-445f-b282-fd9b857ae55c.heif,12.14690629284883,-25.93453380164337,37.50973120479432,-21.5004960390112,27.23733736725806,1.241124976793688,25.68392040274083,-1.893331881576028e-003,-4.569258255416904e-003,6.893629130638479e-002,-0.3014752998797513,0.3446643335318921,0,0,0
130e7ed6-423b-4b73-8024-2bac8cde97e3.heif,8.315445785169034,-21.28877784537531,11.3960010794977,-18.92267167812861,68.3120177056728,0.5793838018885021,26.53122467677165,-3.201479590124924e-003,-1.311925152087571e-002,2.539702457165568e-002,-0.2932521464711473,0.3459664486953491,0,0,0
173745fb-bfef-4c2e-918c-a0aff09f6006.heif,19.53609178871234,-22.21939603255966,37.6677147546278,-35.36990589540552,26.78983458996939,1.5488069954132,25.51858271142237,-2.475622278853163e-003,3.237274606958137e-003,7.940018707900315e-002,-0.3368155562275885,0.369001168306319,0,0,0
2aa79e94-3237-4f6d-aa5d-9bdc7d65a31c.heif,10.27687402314952,2.313193959943583,25.60858242176634,-106.559515273218,27.19161291287573,-6.535368196803448,26.7679514881632,-1.793996998658395e-004,-1.159038946146464e-002,-3.645245217166717e-002,1.792016448233916e-002,-3.746959847229914e-002,0,0,0
2c1bd821-450f-4e7d-bb01-d732a4a1ce73.heif,24.38297639935049,-15.41362039257798,38.23018602534803,-63.46903244296988,30.15890899077883,-6.766147014658425,25.36444719804514,-4.135972100998078e-003,-2.378405713729664e-003,0.1271096958286696,-0.7009970615113994,1.106671004826755,0,0,0
2e6813ce-4d11-4d90-aff5-0567ab2c2ef0.heif,6.828226846901129,2.748335083449928,28.69558915998159,-102.7365721385474,17.89523265731329,-4.79730110200932,26.28371216073004,-4.132918396915155e-004,-4.461954898801444e-003,-3.100604789684461e-002,1.520753134355148e-002,-2.86392596862773e-002,0,0,0
3512b51e-f0b4-4089-be60-0c41495be952.heif,6.911903396386579,-19.15793017397273,16.06107447597077,-22.64640806070014,54.88460389808772,-3.689224023986795,26.5373447658841,8.087144405957169e-004,-1.193659223537577e-002,1.741489354339041e-003,-0.1476206521525376,0.1487920043012667,0,0,0
371bf7f3-0064-4dac-8406-784147351c98.heif,-23.77449660784315,10.94236546337803,33.50772154507808,115.9718341613436,27.04371105476735,-3.956359603480989,25.65423233315477,7.912830500787709e-003,-1.432357687443413e-003,9.269926589235111e-002,-0.4508361317566643,0.5524420900001651,0,0,0
37c2debe-edd9-4db8-a817-b36203774ec1.heif,-7.643930398008902e-002,-16.60774299379944,26.35771771396852,-10.7254648203113,32.98443189246631,-5.276720590246315,26.14125893621014,-2.358850450775194e-005,-8.593285348827317e-003,1.843577060004579e-002,-0.1459414654247531,0.1454263365050784,0,0,0
428ed253-e4bd-49dc-b293-3c4ac81efd47.heif,7.367848675567934,-1.443864696069403,22.58756797790904,-61.3057322690854,22.81965270488253,1.926543906413071,26.73459215121231,-2.772732787313702e-003,-4.402777438420199e-003,-6.417067288991685e-002,6.552856632736276e-002,-6.745990762311257e-002,0,0,0
4a0368a8-ae48-4d72-b3af-889e5144ed23.heif,-0.1852685784320945,-1.254189460514732,27.0647518687768,-24.85658512479097,2.468151350647838,-1.834536191889042,26.608270976232,-1.900971013542158e-004,3.078572346111576e-003,-3.970221369602883e-002,3.038246910460329e-002,-4.842512237399157e-002,0,0,0
520cc368-bc6c-40d9-b695-549036ba4825.heif,12.32365764110847,11.85118882218689,23.35612022112768,-121.8163805158658,33.26240770299061,-0.1510239897219453,26.0293325668274,-1.794453229343592e-003,-1.280406168356232e-002,-2.896553763223033e-003,-9.984440748813539e-002,0.1064854921458432,0,0,0
5986a42c-3220-4a53-bdc4-78808c814bfa.heif,-4.901013181821331,-13.31743896813514,37.7194400802314,6.393048020348999,18.78084099610881,-4.192795533249572,25.74059518936315,1.657437586826827e-004,8.420358859335792e-005,5.54793487715017e-002,-0.2763793236711243,0.3286004443893158,0,0,0
5dbedc20-3bec-4f3f-8730-68878d5f3022.heif,4.052619490681459,-13.46849136646089,21.16933688198765,-25.05307062900092,33.84021654446304,-4.522604752207689,26.74469213812436,6.902014957106716e-004,-1.132391201190176e-002,-3.180489528123893e-002,-3.618869978379619e-002,3.523030537362549e-002,0,0,0
62e5acbe-4c69-44e6-abc8-6a5c0890a0df.heif,-10.12744836745115,-13.75042437046088,38.56056256426434,25.74793902920394,20.48111398348382,-3.896059867757121,25.15070414914775,-3.915242446115874e-003,4.26063867192799e-005,6.108708977013427e-002,-0.2719193763176603,0.3102048393858993,0,0,0
6309bf95-fe23-44d9-9089-dde1773918e3.heif,-26.59990941393416,5.707457548513851,35.32546501616322,96.25769247756048,30.76324815852804,-5.157147935479791,25.6069540664506,4.603397215077059e-003,-3.909936958640391e-003,8.983178317952767e-002,-0.3709565426725614,0.410440595899831,0,0,0
